DOMINIO;TIPO;MARCA;MODELO;AÑO;TIPIFICADA;RTO NRO;VENCIMIENTO RTO;POLIZA NRO;VENCIMIENTO POLIZA;EMPRESA;IDENTIFICACION DEL VEHICULO
AD614JH;TRACTOR;VOLVO;420 6X2T;2019;55,5T;264249;1/4/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD614JI;TRACTOR;VOLVO;420 6X2T;2019;55,5T;974135;24/2/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AD614JS;TRACTOR;VOLVO;420 6X2T;2019;55,5T;977358;4/3/2027;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD614JT;TRACTOR;VOLVO;420 6X2T;2019;60T;263115;25/3/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD614JU;TRACTOR;VOLVO;420 6X2T;2019;55,5T;99618;12/3/2027;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD614JY;BATEA;RANDON;SR.BA 1+1+1;2019;55,5T;265843;8/4/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AD657EQ;BATEA;AIELLO;WHIM SRB 330;2019;52,5T;269940;6/3/2027;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD678UB;TRACTOR;VOLVO;420 6X2T;2019;55,5T;269855;2/5/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD678UC;TRACTOR;VOLVO;420 6X2T;2019;55,5T;269903;6/5/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD678UG;TRACTOR;VOLVO;420 6X2T;2019;55,5T;269947;8/5/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD678UH;TRACTOR;VOLVO;420 6X2T;2019;55,5T;269814;28/4/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD678UI;BATEA;CORMETAL;SBXB21;2019;52,5T;902821;16/1/2027;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD678US;BATEA;AIELLO;WHIM SRB 330;2019;52,5T;271853;9/5/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD736FJ;TRACTOR;VOLVO;330 6X2T;2019;55,5T;637884;3/10/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AD754LN;BATEA;AIELLO;WHIM SRB 330;2019;52,5T;273761;14/5/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AD782WM;BATEA;AIELLO;WHIM SRB 330;2019;52,5T;274929;6/6/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AE116LU;BATEA;CORMETAL;SBXB21;2020;52,5T;274772;28/5/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AE261PG;BATEA;CORMETAL;SBXB21;2020;52,5T;475240;10/6/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AE323HA;BATEA;CORMETAL;SBXB21;2020;52,5T;458777;3/7/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AE366HK;BATEA;CORMETAL;SBXB21;2020;52,5T;468611;12/8/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AE366HL;BATEA;CORMETAL;SBXB21;2020;52,5T;465748;5/8/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AE406ZO;TOLVA;VULCANO;AMG3II;2020;52,5T;470604;22/8/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AE451MN;TOLVA;VULCANO;AMG3II;2020;52,5T;640023;24/10/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AE736OZ;BATEA;CORMETAL;SBXB21;2021;52,5T;463192;15/7/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AE880ZE;BATEA;CORMETAL;SBXB21;2021;52,5T;457737;26/6/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF126FA;BATEA;STOESSEL;SSBL;2021;52,5T;905576;31/1/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF201FA;BATEA;CORMETAL;SBXB21;2021;52,5T;900912;7/1/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF201FB;BATEA;CORMETAL;SBXB21;2021;52,5T;640803;3/11/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF201FL;TRACTOR;VOLVO;420 6X2T;2021;55,5T;900885;5/1/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF235AB;TRACTOR;VOLVO;540 6X2T;2021;55,5T;906658;11/2/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF301ZD;TOLVA;VULCANO;AMG3II;2021;52,5T;101207;19/3/2026;13348154;10/4/2026;SH;GC (CARGA INTERJURISDICCIONAL)
AF301ZO;TRACTOR;VOLVO;420 6X2T;2022;55,5T;264253;1/4/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
